externalId,brand,name,plasticFamily,stiffness,grip,durability,slug
innova-star,Innova,Star,premium,medium,high,high,star
innova-champion,Innova,Champion,premium,high,medium,very-high,champion
innova-gstar,Innova,GStar,premium,low,very-high,medium,gstar
innova-dx,Innova,DX,base,medium,high,low,dx
innova-pro,Innova,Pro,pro,medium,high,medium,pro
innova-r-pro,Innova,R-Pro,pro,low,very-high,low,r-pro
innova-kc-pro,Innova,KC Pro,pro,very-high,medium,medium,kc-pro
innova-jk-pro,Innova,JK Pro,pro,low,very-high,medium,jk-pro
innova-xt,Innova,XT,pro,medium,very-high,medium,xt
innova-nexus,Innova,Nexus,pro,medium,high,medium,nexus
innova-halo-star,Innova,Halo Star,premium,high,high,very-high,halo-star
innova-blizzard-champion,Innova,Blizzard Champion,premium,medium,medium,high,blizzard-champion
innova-metal-flake-champion,Innova,Metal Flake Champion,premium,very-high,medium,very-high,metal-flake-champion
innova-glow-champion,Innova,Glow Champion,premium,high,medium,very-high,glow-champion
innova-glow-star,Innova,Glow Star,premium,medium,high,very-high,glow-star
innova-echo-star,Innova,Echo Star,premium,medium,high,high,echo-star
mvp-neutron,MVP Disc Sports,Neutron,premium,medium,medium,high,neutron
mvp-cosmic-neutron,MVP Disc Sports,Cosmic Neutron,premium,medium,medium,high,cosmic-neutron
mvp-proton,MVP Disc Sports,Proton,premium,high,medium,very-high,proton
mvp-plasma,MVP Disc Sports,Plasma,premium,low,high,high,plasma
mvp-fission,MVP Disc Sports,Fission,premium,low,high,medium,fission
mvp-eclipse-2-0,MVP Disc Sports,Eclipse 2.0,premium,high,medium,very-high,eclipse-2-0
mvp-electron-firm,MVP Disc Sports,Electron Firm,base,high,very-high,low,electron-firm
mvp-electron-medium,MVP Disc Sports,Electron Medium,base,medium,very-high,low,electron-medium
mvp-electron-soft,MVP Disc Sports,Electron Soft,base,low,very-high,low,electron-soft
mvp-cosmic-electron,MVP Disc Sports,Cosmic Electron,base,medium,very-high,low,cosmic-electron
mvp-r2-neutron,MVP Disc Sports,R2 Neutron,premium,medium,medium,high,r2-neutron
discraft-z-line,Discraft,Z Line,premium,high,medium,very-high,z-line
discraft-esp,Discraft,ESP,premium,medium,high,high,esp
discraft-titanium,Discraft,Titanium,premium,high,high,very-high,titanium
discraft-z-flx,Discraft,Z FLX,premium,low,high,very-high,z-flx
discraft-esp-flx,Discraft,ESP FLX,premium,low,high,high,esp-flx
discraft-big-z,Discraft,Big Z,premium,medium,medium,high,big-z
discraft-jawbreaker,Discraft,Jawbreaker,base,medium,very-high,low,jawbreaker
discraft-pro-d,Discraft,Pro-D,base,medium,high,low,pro-d
