source_id,source_document_id,source_name,source_brand,neighbor_rank,neighbor_id,neighbor_document_id,neighbor_name,neighbor_brand,similarity_score,shared_dimensions
1,,1 Flyer,Lightning,1,737,,Pipeline,DGA,0.555974,5
1,,1 Flyer,Lightning,2,317,,F7,Prodigy,0.663234,5
1,,1 Flyer,Lightning,3,179,,Cigarra,Discraft,0.681848,5
1,,1 Flyer,Lightning,4,67,,Athena,Discraft,0.719031,5
1,,1 Flyer,Lightning,5,313,,F1,Prodigy,0.719031,5
2,,1 Helix,Lightning,1,771,,Pyro,Axiom Discs,0.092572,5
2,,1 Helix,Lightning,2,84,,Badger,Legacy,0.416858,5
2,,1 Helix,Lightning,3,288,,Echo,Streamline,0.456124,5
2,,1 Helix,Lightning,4,625,,Mustang,Mint Discs,0.499118,5
2,,1 Helix,Lightning,5,431,,Hex,Axiom Discs,0.580554,5
3,,1 Hookshot,Lightning,1,514,,Land Mine,Doomsday Discs,1.123035,5
3,,1 Hookshot,Lightning,2,289,,Element,Gateway,1.518252,5
3,,1 Hookshot,Lightning,3,68,,Atlas,Innova,1.615620,5
3,,1 Hookshot,Lightning,4,170,,Chariot,Infinite Discs,1.623557,5
3,,1 Hookshot,Lightning,5,837,,Ruin,Infinite Discs,1.718500,5
4,,1 Hyzer,Lightning,1,786,,Ram,Innova,0.462623,5
4,,1 Hyzer,Lightning,2,941,,Streak,Climo Disc Golf,0.928796,5
4,,1 Hyzer,Lightning,3,611,,Moab,Millennium,0.942455,5
4,,1 Hyzer,Lightning,4,735,,Pine,Westside Discs,0.953682,5
4,,1 Hyzer,Lightning,5,14,,Addax,Wild Discs,0.953682,5
5,,Great Horned Owl,Daredevil Discs,1,760,,Prowler,Legacy,0.277987,5
5,,Great Horned Owl,Daredevil Discs,2,917,,Splash,Neptune Discs,0.515352,5
5,,Great Horned Owl,Daredevil Discs,3,186,,Clozer,Legacy,0.539719,5
5,,Great Horned Owl,Daredevil Discs,4,803,,Reef,DGA,0.539719,5
5,,Great Horned Owl,Daredevil Discs,5,20,,Agent,Dynamic Discs,0.539719,5
6,,Tilt,Discmania,1,180,,Cinnamon,Clash Discs,0.000000,5
6,,Tilt,Discmania,2,325,,FX-2,Prodigy,0.000000,5
6,,Tilt,Discmania,3,954,,Surge,Discraft,0.000000,5
6,,Tilt,Discmania,4,344,,Flash,Discraft,0.227085,5
6,,Tilt,Discmania,5,614,,Monarch,Innova,0.227085,5
7,,A1,Prodigy,1,8,,A2,Prodigy,0.000000,5
7,,A1,Prodigy,2,9,,A3,Prodigy,0.000000,5
7,,A1,Prodigy,3,10,,A4,Prodigy,0.000000,5
7,,A1,Prodigy,4,137,,Bull Snake,Lone Star Discs,0.500896,5
7,,A1,Prodigy,5,556,,MD5,Discmania,0.594443,5
