externalId,name,brand,category,speed,glide,turn,fade,stability,diameterCm,heightCm,rimDepthCm,rimThicknessCm,maxWeightGr,nameSlug,brandSlug,categorySlug
discmania-cloud-breaker,Cloud Breaker,Discmania,Distance Driver,12,5,-1,3,Overstable,21.1,1.8,1.2,2.3,175.1,cloud-breaker,discmania,distance-driver
discmania-dd3,DD3,Discmania,Distance Driver,12,5,-1,3,Overstable,21.1,1.9,1.1,2.3,175.1,dd3,discmania,distance-driver
discmania-fd,FD,Discmania,Fairway Driver,7,6,0,1,Understable,21.2,1.4,1.1,1.7,176,fd,discmania,fairway-driver
discmania-md3,MD3,Discmania,Midrange,5,5,0,1,Stable,21.8,1.9,1.3,1.4,180.9,md3,discmania,midrange
discmania-method,Method,Discmania,Midrange,5,5,0,3,Overstable,21.7,1.9,1.4,1.3,180.1,method,discmania,midrange
discmania-p2,P2,Discmania,Putt & Approach,2,3,0,1,Overstable,21.2,2.1,1.5,1,176,p2,discmania,putt-approach
discmania-pd,PD,Discmania,Fairway Driver,10,4,0,3,Overstable,21.2,1.5,1.2,1.9,176,pd,discmania,fairway-driver
discraft-buzzz,Buzzz,Discraft,Midrange,5,4,-1,1,Stable,21.7,1.9,1.3,1.2,180.1,buzzz,discraft,midrange
discraft-buzzz-os,Buzzz OS,Discraft,Midrange,5,4,0,3,Overstable,21.7,1.7,1.2,1.3,180.1,buzzz-os,discraft,midrange
discraft-force,Force,Discraft,Distance Driver,12,5,0,3,Overstable,21.1,1.7,1.2,2.3,175.1,force,discraft,distance-driver
discraft-heat,Heat,Discraft,Fairway Driver,9,6,-3,1,Very Understable,21.1,2.1,1.2,1.9,175.1,heat,discraft,fairway-driver
discraft-luna,Luna,Discraft,Putt & Approach,3,3,0,3,Stable,21.1,2,1.4,1.1,175.1,luna,discraft,putt-approach
discraft-meteor,Meteor,Discraft,Midrange,5,5,-3,1,Understable,21.5,2,1.3,1.3,178.5,meteor,discraft,midrange
discraft-nuke,Nuke,Discraft,Distance Driver,13,5,-1,3,Overstable,21.2,1.6,1.2,2.5,176,nuke,discraft,distance-driver
