externalId,moldExternalId,plasticExternalId,displayName,speed,glide,turn,fade,stability,weightMin,weightMax,link,imageUrl,notes,slug
discmania-cloud-breaker-horizon,discmania-cloud-breaker,discmania-horizon,Horizon Cloud Breaker,,,,,,,,,,,cloud-breaker-horizon
discmania-dd3-c-line,discmania-dd3,discmania-c-line,C-Line DD3,,,,,,,,,,,dd3-c-line
discmania-dd3-horizon,discmania-dd3,discmania-horizon,Horizon DD3,,,,,,,,,,,dd3-horizon
discmania-dd3-s-line,discmania-dd3,discmania-s-line,S-Line DD3,,,,,,,,,,,dd3-s-line
discmania-fd-c-line,discmania-fd,discmania-c-line,C-Line FD,,,,,,,,,,,fd-c-line
discmania-fd-horizon,discmania-fd,discmania-horizon,Horizon FD,,,,,,,,,,,fd-horizon
discmania-fd-s-line,discmania-fd,discmania-s-line,S-Line FD,,,,,,,,,,,fd-s-line
discmania-md3-c-line,discmania-md3,discmania-c-line,C-Line MD3,,,,,,,,,,,md3-c-line
discmania-method-exo-hard,discmania-method,discmania-exo-hard,Exo Hard Method,,,,,,,,,,,method-exo-hard
discmania-method-exo-soft,discmania-method,discmania-exo-soft,Exo Soft Method,,,,,,,,,,,method-exo-soft
discmania-method-forge,discmania-method,discmania-forge,Forge Method,,,,,,,,,,,method-forge
discmania-method-neo,discmania-method,discmania-neo,Neo Method,,,,,,,,,,,method-neo
discmania-p2-d-line,discmania-p2,discmania-d-line,D-Line P2,,,,,,,,,,,p2-d-line
discmania-pd-c-line,discmania-pd,discmania-c-line,C-Line PD,,,,,,,,,,,pd-c-line
discmania-pd-horizon,discmania-pd,discmania-horizon,Horizon PD,,,,,,,,,,,pd-horizon
discmania-pd-s-line,discmania-pd,discmania-s-line,S-Line PD,,,,,,,,,,,pd-s-line
discraft-buzzz-big-z,discraft-buzzz,discraft-big-z,Big Z Buzzz,,,,,,,,,,,buzzz-big-z
discraft-buzzz-esp,discraft-buzzz,discraft-esp,ESP Buzzz,,,,,,,,,,,buzzz-esp
discraft-buzzz-esp-flx,discraft-buzzz,discraft-esp-flx,ESP FLX Buzzz,,,,,,,,,,,buzzz-esp-flx
discraft-buzzz-os-big-z,discraft-buzzz-os,discraft-big-z,Big Z Buzzz OS,,,,,,,,,,,buzzz-os-big-z
discraft-buzzz-os-esp,discraft-buzzz-os,discraft-esp,ESP Buzzz OS,,,,,,,,,,,buzzz-os-esp
discraft-buzzz-os-titanium,discraft-buzzz-os,discraft-titanium,Titanium Buzzz OS,,,,,,,,,,,buzzz-os-titanium
discraft-buzzz-os-z-line,discraft-buzzz-os,discraft-z-line,Z Line Buzzz OS,,,,,,,,,,,buzzz-os-z-line
discraft-buzzz-titanium,discraft-buzzz,discraft-titanium,Titanium Buzzz,,,,,,,,,,,buzzz-titanium
discraft-buzzz-z-flx,discraft-buzzz,discraft-z-flx,Z FLX Buzzz,,,,,,,,,,,buzzz-z-flx
discraft-buzzz-z-line,discraft-buzzz,discraft-z-line,Z Line Buzzz,,,,,,,,,,,buzzz-z-line
discraft-force-big-z,discraft-force,discraft-big-z,Big Z Force,,,,,,,,,,,force-big-z
discraft-force-esp,discraft-force,discraft-esp,ESP Force,,,,,,,,,,,force-esp
discraft-force-titanium,discraft-force,discraft-titanium,Titanium Force,,,,,,,,,,,force-titanium
discraft-force-z-line,discraft-force,discraft-z-line,Z Line Force,,,,,,,,,,,force-z-line
discraft-heat-big-z,discraft-heat,discraft-big-z,Big Z Heat,,,,,,,,,,,heat-big-z
discraft-heat-esp,discraft-heat,discraft-esp,ESP Heat,,,,,,,,,,,heat-esp
discraft-heat-titanium,discraft-heat,discraft-titanium,Titanium Heat,,,,,,,,,,,heat-titanium
discraft-heat-z-line,discraft-heat,discraft-z-line,Z Line Heat,,,,,,,,,,,heat-z-line
discraft-luna-big-z,discraft-luna,discraft-big-z,Big Z Luna,,,,,,,,,,,luna-big-z
discraft-luna-cryztal,discraft-luna,discraft-cryztal,CryZtal Luna,,,,,,,,,,,luna-cryztal
discraft-luna-esp,discraft-luna,discraft-esp,ESP Luna,,,,,,,,,,,luna-esp
discraft-luna-rubber-blend,discraft-luna,discraft-rubber-blend,Rubber Blend Luna,,,,,,,,,,,luna-rubber-blend
discraft-luna-z-line,discraft-luna,discraft-z-line,Z Line Luna,,,,,,,,,,,luna-z-line
discraft-meteor-big-z,discraft-meteor,discraft-big-z,Big Z Meteor,,,,,,,,,,,meteor-big-z
discraft-meteor-esp,discraft-meteor,discraft-esp,ESP Meteor,,,,,,,,,,,meteor-esp
discraft-meteor-z-line,discraft-meteor,discraft-z-line,Z Line Meteor,,,,,,,,,,,meteor-z-line
discraft-nuke-big-z,discraft-nuke,discraft-big-z,Big Z Nuke,,,,,,,,,,,nuke-big-z
discraft-nuke-esp,discraft-nuke,discraft-esp,ESP Nuke,,,,,,,,,,,nuke-esp
discraft-nuke-titanium,discraft-nuke,discraft-titanium,Titanium Nuke,,,,,,,,,,,nuke-titanium
