externalId,brand,mold,category,name,plasticFamily,stiffness,grip,durability,slug
innova-aviar-dx,Innova,Aviar,Putt & Approach,DX,base,medium,high,low,dx
innova-aviar3-dx,Innova,Aviar3,Putt & Approach,DX,base,medium,high,low,dx
innova-rhyno-dx,Innova,Rhyno,Putt & Approach,DX,base,medium,high,low,dx
innova-pig-dx,Innova,Pig,Putt & Approach,DX,base,medium,high,low,dx
innova-dart-dx,Innova,Dart,Putt & Approach,DX,base,medium,high,low,dx
innova-whale-dx,Innova,Whale,Putt & Approach,DX,base,medium,high,low,dx
innova-roc-dx,Innova,Roc,Midrange,DX,base,medium,high,low,dx
innova-roc3-dx,Innova,Roc3,Midrange,DX,base,medium,high,low,dx
innova-mako3-dx,Innova,Mako3,Midrange,DX,base,medium,high,low,dx
innova-shark-dx,Innova,Shark,Midrange,DX,base,medium,high,low,dx
innova-gator-dx,Innova,Gator,Midrange,DX,base,medium,high,low,dx
innova-teebird-dx,Innova,TeeBird,Fairway Driver,DX,base,medium,high,low,dx
innova-teebird3-dx,Innova,TeeBird3,Fairway Driver,DX,base,medium,high,low,dx
innova-firebird-dx,Innova,Firebird,Fairway Driver,DX,base,medium,high,low,dx
innova-leopard-dx,Innova,Leopard,Fairway Driver,DX,base,medium,high,low,dx
innova-leopard3-dx,Innova,Leopard3,Fairway Driver,DX,base,medium,high,low,dx
innova-valkyrie-dx,Innova,Valkyrie,Fairway Driver,DX,base,medium,high,low,dx
innova-eagle-dx,Innova,Eagle,Fairway Driver,DX,base,medium,high,low,dx
innova-thunderbird-dx,Innova,Thunderbird,Fairway Driver,DX,base,medium,high,low,dx
innova-sidewinder-dx,Innova,Sidewinder,Fairway Driver,DX,base,medium,high,low,dx
innova-roadrunner-dx,Innova,Roadrunner,Fairway Driver,DX,base,medium,high,low,dx
innova-destroyer-dx,Innova,Destroyer,Distance Driver,DX,base,medium,high,low,dx
innova-wraith-dx,Innova,Wraith,Distance Driver,DX,base,medium,high,low,dx
innova-boss-dx,Innova,Boss,Distance Driver,DX,base,medium,high,low,dx
innova-katana-dx,Innova,Katana,Distance Driver,DX,base,medium,high,low,dx
innova-orc-dx,Innova,Orc,Distance Driver,DX,base,medium,high,low,dx
innova-beast-dx,Innova,Beast,Distance Driver,DX,base,medium,high,low,dx
innova-mamba-dx,Innova,Mamba,Distance Driver,DX,base,medium,high,low,dx
innova-aviar-star,Innova,Aviar,Putt & Approach,Star,premium,medium,high,high,star
innova-aviar3-star,Innova,Aviar3,Putt & Approach,Star,premium,medium,high,high,star
innova-rhyno-star,Innova,Rhyno,Putt & Approach,Star,premium,medium,high,high,star
innova-pig-star,Innova,Pig,Putt & Approach,Star,premium,medium,high,high,star
innova-dart-star,Innova,Dart,Putt & Approach,Star,premium,medium,high,high,star
innova-roc-star,Innova,Roc,Midrange,Star,premium,medium,high,high,star
innova-roc3-star,Innova,Roc3,Midrange,Star,premium,medium,high,high,star
innova-mako3-star,Innova,Mako3,Midrange,Star,premium,medium,high,high,star
innova-shark-star,Innova,Shark,Midrange,Star,premium,medium,high,high,star
innova-gator-star,Innova,Gator,Midrange,Star,premium,medium,high,high,star
innova-caiman-star,Innova,Caiman,Midrange,Star,premium,medium,high,high,star
innova-teebird-star,Innova,TeeBird,Fairway Driver,Star,premium,medium,high,high,star
innova-teebird3-star,Innova,TeeBird3,Fairway Driver,Star,premium,medium,high,high,star
innova-firebird-star,Innova,Firebird,Fairway Driver,Star,premium,medium,high,high,star
innova-leopard-star,Innova,Leopard,Fairway Driver,Star,premium,medium,high,high,star
innova-leopard3-star,Innova,Leopard3,Fairway Driver,Star,premium,medium,high,high,star
innova-valkyrie-star,Innova,Valkyrie,Fairway Driver,Star,premium,medium,high,high,star
