id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval
0,1 Driver,Lightning,Fairway Driver,17,6,4,-2,2,Understable,https://www.marshallstreetdiscgolf.com/product/1-driver,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8994436.webp,1-driver,lightning,control-driver,understable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,
1,1 Flyer,Lightning,Fairway Driver,17,8,5,-2,2,Stable,https://www.marshallstreetdiscgolf.com/product/1-flyer,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/6680415.webp,1-flyer,lightning,control-driver,stable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,
2,1 Helix,Lightning,Fairway Driver,17,8,4,-1,3,Overstable,https://www.marshallstreetdiscgolf.com/product/1-helix,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2141916.webp,1-helix,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,
3,1 Hookshot,Lightning,Fairway Driver,17,6,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/product/1-hookshot,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2141916.webp,1-hookshot,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,
4,1 Hyzer,Lightning,Fairway Driver,17,7,3,0,4,Overstable,https://www.marshallstreetdiscgolf.com/product/1-hyzer,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2215228.webp,1-hyzer,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,
5,Great Horned Owl,Daredevil Discs,Putter,19,2,3,0,1,Stable,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3952594.webp,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3952594.webp,great-horned-owl,daredevil-discs,putter,stable,#FFFFFF,#515151,,,,,,,,,,,,,,
6,Tilt,Discmania,Fairway Driver,17,9,1,1,6,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=tilt&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000252.webp,tilt,discmania,control-driver,very-overstable,#FFA813,#9A0C0C,,,,,,,,,,,,,,
7,A1,Prodigy,Approach Discs,20,4,2,0,5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A1%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081443.webp,a1,prodigy,approach-discs,very-overstable,#000000,#10A259,,,,,,,,,,,,,,
8,A2,Prodigy,Approach Discs,20,4,2,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A2%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081441.webp,a2,prodigy,approach-discs,very-overstable,#000000,#10A259,,,,,,,,,,,,,,
9,A3,Prodigy,Approach Discs,20,4,3,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A3%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081442.webp,a3,prodigy,approach-discs,overstable,#000000,#10A259,,,,,,,,,,,,,,
10,A4,Prodigy,Approach Discs,20,4,3,-1,3,Stable,https://www.marshallstreetdiscgolf.com/?s=%22A4%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8080444.webp,a4,prodigy,approach-discs,stable,#000000,#10A259,,,,,,,,,,,,,,
11,A5,Prodigy,Approach Discs,20,4,3,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=%22A5%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000216.webp,a5,prodigy,approach-discs,stable,#000000,#10A259,,,,,,,,,,,,,,
12,APX,Discraft,Putter,19,2,2,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=apx&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8913305.webp,apx,discraft,putter,stable,#FF3737,#000000,174.3,21,2.3,1.4,19.2,0.9,6.7,49.25,7.03,,,,99-01,"Jan 29, 1999"
13,Abyss,Storm,Fairway Driver,17,8,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Abyss&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000178.webp,abyss,storm,control-driver,overstable,#FFF417,#7010B9,,,,,,,,,,,,,,
14,Addax,Wild Discs,Midrange,18,5,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/product/landslide-addax-1st-run,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000067.webp,addax,wild-discs,midrange,overstable,#D267A0,#373C0D,180.1,21.7,1.7,1.3,18.7,1.5,6,39.25,11.7,,,,20-100,"Dec 26, 2020"
15,Addax Reborn,Wild Discs,Midrange,18,5,5,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Addax+Reborn&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000277.webp,addax-reborn,wild-discs,midrange,stable,#D267A0,#373C0D,,,,,,,,,,,,,,
16,Adder,Westside Discs,Distance Driver,15,13,5,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=Addler&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000454.webp,adder,westside-discs,distance-driver,very-overstable,#FFFFFF,#014E13,,,,,,,,,,,,,,
17,Aero,Innova,Midrange,18,3,6,0,0,Understable,https://www.marshallstreetdiscgolf.com/?s=aero&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2470092.webp,aero,innova,midrange,understable,#2A290E,#F3EB09,,,,,,,,,,,,,,
18,Aftermath,Legacy,Distance Driver,15,13,5,-2,3,Stable,https://www.marshallstreetdiscgolf.com/?s=aftermath&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1984394.webp,aftermath,legacy,distance-driver,stable,#3831F0,#E43DD9,,,,,,,,,,,,,,
19,Aftershock,DGA,Midrange,18,5,4,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=aftershock&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1994394.webp,aftershock,dga,midrange,stable,#2876FF,#272727,,,,,,,,,,,,,,
20,Agent,Dynamic Discs,Putter,19,2,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=agent&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000157.webp,agent,dynamic-discs,putter,stable,#FFFFFF,#0082F4,176,21.2,2.1,1.4,19,1.1,6.6,60.75,12.13,,,,22-34,"Mar 7, 2022"
21,Agera,EV-7,Putter,19,2,5,-2,1,Understable,,,agera,ev-7,putter,understable,#FFFFFF,#111397,,,,,,,,,,,,,,
22,Ahti,Westside Discs,Fairway Driver,17,9,3,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=ahti&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1205500.webp,ahti,westside-discs,control-driver,very-overstable,#FFFFFF,#014E13,,,,,,,,,,,,,,
23,Air Strike,Gateway,Fairway Driver,17,9,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=air+strike&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0125500.webp,air-strike,gateway,control-driver,stable,#FFFFFF,#A66A17,,,,,,,,,,,,,,
24,Albatross,Daredevil Discs,Distance Driver,15,14,6,-2,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=albatross&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0529007.webp,albatross,daredevil-discs,distance-driver,overstable,#FFFFFF,#515151,174.3,21,1.6,1.1,16.4,2.3,5.2,26.5,8.39,,,,17-43,"Apr 3, 2017"
25,Alien,Innova,Midrange,18,4,2,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Alien&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000365.webp,alien,innova,midrange,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,
26,Allosaurus,Dino Discs,Distance Driver,15,12,5,-3,1,Very Understable,https://www.marshallstreetdiscgolf.com/?s=allosaurus&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000530.webp,allosaurus,dino-discs,distance-driver,very-understable,#740A0A,#FF6FCF,,,,,,,,,,,,,,
27,Alpaca,Infinite Discs,Putter,19,3,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Alpaca&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000079.webp,alpaca,infinite-discs,putter,stable,#FFFFFF,#62054C,175.1,21.1,2,1.5,19,1,7.1,63.75,8.52,,,,20-86,"Nov 16, 2020"
28,Alpas,Divergent,Putter,19,3,3,-2,2,Understable,https://www.marshallstreetdiscgolf.com/?s=alpas&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000131.webp,alpas,divergent,putter,understable,#151FFF,#D8FFD9,,,,,,,,,,,,,,
29,Alpha,Mint Discs,Fairway Driver,17,8,4,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=Alpha&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4193239.webp,alpha,mint-discs,control-driver,stable,#FFFFFF,#F4933E,175.1,21.1,2.1,1.2,17.1,2,5.7,30.5,8.39,,,,17-13,"Jan 28, 2017"
30,Alter,Thought Space Athletics,Putter,19,3,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Alter&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000257.webp,alter,thought-space-athletics,putter,stable,#000000,#FF770E,176,21.2,2,1.5,19,1.1,7.1,61.5,5.34,,,,22-126,"Jul 11, 2022"
31,Alva,Kastaplast,Distance Driver,15,11,6,-2,2,Understable,https://www.marshallstreetdiscgolf.com/?s=k1+alva&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000440.webp,alva,kastaplast,distance-driver,understable,#000000,#21F1B9,,,,,,,,,,,,,,
32,Amphibian,Gateway,Control Driver,16,10,6,-4,2,Understable,https://www.marshallstreetdiscgolf.com/?s=amphibian&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000000.webp,amphibian,gateway,hybrid-driver,understable,#FFFFFF,#A66A17,,,,,,,,,,,,,,
33,Amulet,Prodiscus,Midrange,18,5,4,1,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=amulet&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000409.webp,amulet,prodiscus,midrange,overstable,#32E65C,#5435A9,179.3,21.6,1.8,1.5,18.8,1.4,6.9,47.5,7.16,,,,23-168,"Jun 26, 2023"
