id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval,pdga_match_tier,pdga_match_confidence,pdga_disc_model,pdga_manufacturer,pdga_approved_date,pdga_certification_number,pdga_class,pdga_diameter_cm,pdga_height_cm,pdga_rim_depth_cm,pdga_inside_rim_diameter_cm,pdga_rim_thickness_cm,pdga_rim_depth_diameter_ratio_pct,pdga_max_weight_gr,pdga_max_weight_vint_gr,pdga_flexibility_kg,pdga_rim_configuration,pdga_last_year_production,pdga_brand_suggested,pdga_brand_differs_from_merged
0,1 Driver,Lightning,Fairway Driver,17,6,4,-2,2,Understable,https://www.marshallstreetdiscgolf.com/product/1-driver,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8994436.webp,1-driver,lightning,control-driver,understable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
1,1 Flyer,Lightning,Fairway Driver,17,8,5,-2,2,Stable,https://www.marshallstreetdiscgolf.com/product/1-flyer,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/6680415.webp,1-flyer,lightning,control-driver,stable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,B_name_unique,medium,#1 Flyer,Lightning Discs,"Feb 2, 1995",95-15,,21.4,1.5,1.1,18.2,1.6,5.1,177.6,,9.75,27.75,,Lightning Discs,yes
2,1 Helix,Lightning,Fairway Driver,17,8,4,-1,3,Overstable,https://www.marshallstreetdiscgolf.com/product/1-helix,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2141916.webp,1-helix,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,B_name_unique,medium,#1 Helix,Lightning Discs,"Mar 3, 1996",96-02,,21.5,1.6,1.3,18.3,1.6,6.0,178.5,,10.87,31.25,,Lightning Discs,yes
3,1 Hookshot,Lightning,Fairway Driver,17,6,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/product/1-hookshot,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2141916.webp,1-hookshot,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,B_name_unique,medium,#1 Hookshot,Lightning Discs,"Mar 21, 1995",93-11,,22.2,1.7,1.5,19.2,1.5,6.8,184.3,,7.70,32.50,,Lightning Discs,yes
4,1 Hyzer,Lightning,Fairway Driver,17,7,3,0,4,Overstable,https://www.marshallstreetdiscgolf.com/product/1-hyzer,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2215228.webp,1-hyzer,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,B_name_unique,medium,#1 Hyzer,Lightning Discs,"Jul 6, 1995",95-03,,21.7,1.8,1.3,18.1,1.8,6.0,180.1,,10.66,29.25,,Lightning Discs,yes
5,Great Horned Owl,Daredevil Discs,Putter,19,2,3,0,1,Stable,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3952594.webp,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3952594.webp,great-horned-owl,daredevil-discs,putter,stable,#FFFFFF,#515151,,,,,,,,,,,,,,,A_name_brand,high,Great Horned Owl,Daredevil Discs,"Apr 21, 2016",16-34,,21.2,2.2,1.4,19.2,1.0,6.6,176.0,,7.14,62.25,,Daredevil Discs,no
6,Tilt,Discmania,Fairway Driver,17,9,1,1,6,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=tilt&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000252.webp,tilt,discmania,control-driver,very-overstable,#FFA813,#9A0C0C,,,,,,,,,,,,,,,A_name_brand,high,Tilt,Discmania,"Dec 26, 2020",20-102,,21.1,1.6,1.2,17.1,2.0,5.7,175.1,,12.05,29.25,,Discmania,no
7,A1,Prodigy,Approach Discs,20,4,2,0,5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A1%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081443.webp,a1,prodigy,approach-discs,very-overstable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A1,Prodigy Disc,"Nov 16, 2015",15-68,,21.0,2.0,1.3,18.2,1.4,6.2,174.3,,8.62,41.75,,Prodigy Disc,no
8,A2,Prodigy,Approach Discs,20,4,2,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A2%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081441.webp,a2,prodigy,approach-discs,very-overstable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A2,Prodigy Disc,"Dec 15, 2015",15-69,,21.0,2.0,1.3,18.2,1.4,6.2,174.3,,8.50,41.75,,Prodigy Disc,no
9,A3,Prodigy,Approach Discs,20,4,3,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A3%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081442.webp,a3,prodigy,approach-discs,overstable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A3,Prodigy Disc,"Dec 15, 2015",15-70,,21.0,2.0,1.3,18.2,1.4,6.2,174.3,,8.39,50.25,,Prodigy Disc,no
10,A4,Prodigy,Approach Discs,20,4,3,-1,3,Stable,https://www.marshallstreetdiscgolf.com/?s=%22A4%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8080444.webp,a4,prodigy,approach-discs,stable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A4,Prodigy Disc,"May 10, 2016",16-43,,21.0,2.0,1.3,18.2,1.4,6.2,174.3,,9.64,61.75,,Prodigy Disc,no
11,A5,Prodigy,Approach Discs,20,4,3,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=%22A5%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000216.webp,a5,prodigy,approach-discs,stable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A5,Prodigy Disc,"Dec 27, 2021",21-159,,21.3,1.9,1.4,19.0,1.2,6.6,176.8,,7.84,54.75,,Prodigy Disc,no
12,APX,Discraft,Putter,19,2,2,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=apx&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8913305.webp,apx,discraft,putter,stable,#FF3737,#000000,174.3,21,2.3,1.4,19.2,0.9,6.7,49.25,7.03,,,,99-01,"Jan 29, 1999",A_name_brand,high,APX,Discraft,"Jan 29, 1999",99-01,,21.0,2.3,1.4,19.2,0.9,6.7,174.3,,7.03,49.25,,Discraft,no
13,Abyss,Storm,Fairway Driver,17,8,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Abyss&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000178.webp,abyss,storm,control-driver,overstable,#FFF417,#7010B9,,,,,,,,,,,,,,,B_name_unique,medium,Abyss,Storm Disc Golf,"Apr 3, 2019",19-35,,21.1,1.6,1.1,17.1,2.0,5.2,175.1,,11.82,31.75,,Storm Disc Golf,yes
14,Addax,Wild Discs,Midrange,18,5,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/product/landslide-addax-1st-run,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000067.webp,addax,wild-discs,midrange,overstable,#D267A0,#373C0D,180.1,21.7,1.7,1.3,18.7,1.5,6,39.25,11.7,,,,20-100,"Dec 26, 2020",A_name_brand,high,Addax,Wild Discs,"Dec 26, 2020",20-100,,21.7,1.7,1.3,18.7,1.5,6.0,180.1,,11.70,39.25,,Wild Discs,no
