brand,moldName,brandSlug,canonicalMold,phase2Status,matchReason
ABC Discs,Money Putter,abc-discs,moneyputter,missing,
Above Ground Level,Baobab,above-ground-level,baobab,missing,
Above Ground Level,Beech,above-ground-level,beech,missing,
Above Ground Level,Cedar,above-ground-level,cedar,missing,
Above Ground Level,Douglas Fir,above-ground-level,douglasfir,missing,
Above Ground Level,Elm,above-ground-level,elm,missing,
Above Ground Level,Koa,above-ground-level,koa,missing,
Above Ground Level,Locust,above-ground-level,locust,missing,
Above Ground Level,Madrone,above-ground-level,madrone,missing,
Above Ground Level,Magnolia,above-ground-level,magnolia,missing,
Above Ground Level,Manzanita,above-ground-level,manzanita,missing,
Above Ground Level,Maple,above-ground-level,maple,missing,
Above Ground Level,Ponderosa,above-ground-level,ponderosa,missing,
Above Ground Level,Redwood,above-ground-level,redwood,missing,
Above Ground Level,Sequoia,above-ground-level,sequoia,missing,
Above Ground Level,Spruce,above-ground-level,spruce,missing,
Above Ground Level,Sycamore,above-ground-level,sycamore,missing,
AquaFlight,Dragonfly,aquaflight,dragonfly,missing,
AquaFlight,Osprey,aquaflight,osprey,missing,
AquaFlight,Peace Frog,aquaflight,peacefrog,missing,
AquaFlight,Pelican,aquaflight,pelican,missing,
AquaFlight,Swift,aquaflight,swift,missing,
Axiom Discs,Balance,axiom-discs,balance,missing,
Axiom Discs,Bokeh,axiom-discs,bokeh,missing,
Axiom Discs,Crave,axiom-discs,crave,missing,
Axiom Discs,Defy,axiom-discs,defy,missing,
Axiom Discs,Delirium,axiom-discs,delirium,missing,
Axiom Discs,Envy,axiom-discs,envy,missing,
Axiom Discs,Excite,axiom-discs,excite,missing,
Axiom Discs,Fireball,axiom-discs,fireball,missing,
Axiom Discs,Hex,axiom-discs,hex,missing,
Axiom Discs,Insanity,axiom-discs,insanity,missing,
Axiom Discs,Mayhem,axiom-discs,mayhem,missing,
Axiom Discs,Panic,axiom-discs,panic,missing,
Axiom Discs,Paradox,axiom-discs,paradox,missing,
Axiom Discs,Pitch,axiom-discs,pitch,missing,
Axiom Discs,Pixel,axiom-discs,pixel,missing,
Axiom Discs,Proxy,axiom-discs,proxy,missing,
Axiom Discs,Pyro,axiom-discs,pyro,missing,
Axiom Discs,Rhythm,axiom-discs,rhythm,missing,
Axiom Discs,Tantrum,axiom-discs,tantrum,missing,
Axiom Discs,Tempo,axiom-discs,tempo,missing,
Axiom Discs,Tenacity,axiom-discs,tenacity,missing,
Axiom Discs,Thrill,axiom-discs,thrill,missing,
Axiom Discs,Time-Lapse,axiom-discs,timelapse,missing,
Axiom Discs,Time-Lapse (Retooled),axiom-discs,timelapseretooled,missing,
Axiom Discs,Trance,axiom-discs,trance,missing,
Axiom Discs,Uplink,axiom-discs,uplink,missing,
Axiom Discs,Vanish,axiom-discs,vanish,missing,
Axiom Discs,Virus,axiom-discs,virus,missing,
Axiom Discs,Wrath,axiom-discs,wrath,missing,
Birdie,Marvel,birdie,marvel,missing,
Birdie,Reach,birdie,reach,missing,
Birdie,Rise,birdie,rise,missing,
Birdie,Weapon,birdie,weapon,missing,
Clash Discs,Berry,clash-discs,berry,missing,
Clash Discs,Butter,clash-discs,butter,missing,
Clash Discs,Candy,clash-discs,candy,missing,
Clash Discs,Cherry,clash-discs,cherry,missing,
Clash Discs,Cinnamon,clash-discs,cinnamon,missing,
Clash Discs,Cookie,clash-discs,cookie,missing,
Clash Discs,Fudge,clash-discs,fudge,missing,
Clash Discs,Ginger,clash-discs,ginger,missing,
Clash Discs,Guava,clash-discs,guava,missing,
Clash Discs,Lotus,clash-discs,lotus,missing,
Clash Discs,Mango,clash-discs,mango,missing,
Clash Discs,Millet,clash-discs,millet,missing,
Clash Discs,Mint,clash-discs,mint,missing,
Clash Discs,Peach,clash-discs,peach,missing,
Clash Discs,Pepper,clash-discs,pepper,missing,
Clash Discs,Peppermint,clash-discs,peppermint,missing,
Clash Discs,Popcorn,clash-discs,popcorn,missing,
Clash Discs,Sage,clash-discs,sage,missing,
Clash Discs,Salt,clash-discs,salt,missing,
Clash Discs,Soda,clash-discs,soda,missing,
Clash Discs,Spice,clash-discs,spice,missing,
Clash Discs,Vanilla,clash-discs,vanilla,missing,
Clash Discs,Wild Honey,clash-discs,wildhoney,missing,
Climo Disc Golf,Apogee,climo-disc-golf,apogee,missing,
Climo Disc Golf,Belleair,climo-disc-golf,belleair,missing,
Climo Disc Golf,Champ,climo-disc-golf,champ,missing,
Climo Disc Golf,Cliff,climo-disc-golf,cliff,missing,
Climo Disc Golf,Skyway,climo-disc-golf,skyway,missing,
Climo Disc Golf,Streak,climo-disc-golf,streak,missing,
Crosslap,Credo,crosslap,credo,missing,
Crosslap,Lucky,crosslap,lucky,missing,
Crosslap,Openwater,crosslap,openwater,missing,
Crosslap,Shadowplay,crosslap,shadowplay,missing,
Crosslap,Vigil,crosslap,vigil,missing,
Daredevil Discs,Albatross,daredevil-discs,albatross,missing,
Daredevil Discs,Beaver,daredevil-discs,beaver,missing,
Daredevil Discs,Big Horn,daredevil-discs,bighorn,missing,
Daredevil Discs,BigFoot,daredevil-discs,bigfoot,missing,
Daredevil Discs,Buffalo,daredevil-discs,buffalo,missing,
Daredevil Discs,Caribou,daredevil-discs,caribou,missing,
Daredevil Discs,Great Horned Owl,daredevil-discs,greathornedowl,missing,
Daredevil Discs,Grizzly,daredevil-discs,grizzly,missing,
Daredevil Discs,Hellbender,daredevil-discs,hellbender,missing,
Daredevil Discs,Hellbender (Razorback),daredevil-discs,hellbenderrazorback,missing,
Daredevil Discs,Mammoth,daredevil-discs,mammoth,missing,
Daredevil Discs,Merlin,daredevil-discs,merlin,missing,
Daredevil Discs,Moose,daredevil-discs,moose,missing,
Daredevil Discs,Ogopogo,daredevil-discs,ogopogo,missing,
Daredevil Discs,Polar Bear,daredevil-discs,polarbear,missing,
Daredevil Discs,Sabertooth,daredevil-discs,sabertooth,missing,
Daredevil Discs,Sasquatch,daredevil-discs,sasquatch,missing,
