"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Negative","Eternity","176.0","21.2","1.8","1.1","17.3","1.9","5.2","28.75","10.11","","","","26-58","Apr 13, 2026"
"Yeet Street Discs","Adonis","176.8","21.3","1.7","1.2","17.4","2.0","5.6","37.50","7.27","","","","26-56","Apr 13, 2026"
"Elevation Disc Golf","Uktena","176.8","21.3","1.4","1.1","17.1","2.1","5.2","28.25","4.89","","","","26-55","Apr 13, 2026"
"Doomsday Discs","Propaganda","176.0","21.2","1.7","1.1","17.3","2.0","5.2","28.75","11.93","","","","26-57","Apr 13, 2026"
"Elevation Disc Golf","Groundhog","175.1","21.1","1.7","1.3","19.3","0.9","6.2","74.00","2.50","","","","26-54","Apr 6, 2026"
"Kastaplast","Gadd","178.5","21.5","1.8","1.3","18.7","1.4","6.0","41.00","7.73","","","","26-53","Mar 30, 2026"
"Nice Discs","Mukava","175.1","21.1","1.6","1.4","18.6","1.2","6.6","41.50","6.48","","","","26-51","Mar 30, 2026"
"Dynamic Discs","Mutiny","180.9","21.8","1.9","1.2","18.9","1.4","5.5","42.25","9.20","","","","26-52","Mar 30, 2026"
"Discount Disc Golf","Same Same","180.1","21.7","2.0","1.3","18.9","1.4","6.0","47.75","7.39","","","","26-50","Mar 23, 2026"
"Above Ground Level","Juniper","180.1","21.7","1.7","1.3","18.9","1.4","6.0","39.50","8.98","","","","26-45","Mar 16, 2026"
"Negative","Void","176.0","21.2","1.8","1.2","17.3","2.0","5.7","33.50","11.59","","","","26-48","Mar 16, 2026"
"Climo Disc Golf","Coast ","178.5","21.5","1.9","1.3","18.6","1.5","6.0","46.50","11.36","","","","26-46","Mar 16, 2026"
"Climo Disc Golf","Cliff  (CDG-0326-P)","174.3","21.0","2.1","1.4","18.8","1.1","6.7","60.50","11.70","","","","26-49","Mar 16, 2026"
"Hooligan Discs","Rope (retooled)","180.9","21.8","1.8","1.2","19.0","1.4","5.5","52.75","10.57","","","","26-47","Mar 13, 2026"
"Discount Disc Golf","Dirty Dog","175.1","21.1","1.8","1.2","17.0","2.1","5.7","30.00","11.59","","","","26-40","Mar 9, 2026"
"Essential Discs","Breath","177.6","21.4","1.7","1.3","18.6","1.4","6.1","46.50","10.57","","","","26-43","Mar 9, 2026"
"Essential Discs","Conflict","176.0","21.2","1.8","1.5","19.0","1.1","7.1","67.50","9.89","","","","26-44","Mar 9, 2026"
"Disc Golf Association","Hurricane X","175.1","21.1","1.7","1.2","16.5","2.3","5.7","29.75","11.59","","","","26-41","Mar 9, 2026"
"Mint Discs","Rodeo","179.3","21.6","1.9","1.4","19.1","1.3","6.5","35.50","6.02","","","","26-42","Mar 9, 2026"
"Deuz Disc Golf","Sequence","180.1","21.7","1.5","1.2","18.5","1.6","5.5","42.00","6.59","","","","26-31","Mar 2, 2026"
"Appalachian Discs","Bluegrass","174.3","21.0","1.6","1.3","18.0","1.5","6.2","66.25","4.20","","","","26-32","Mar 2, 2026"
"RPM Discs/Disc Golf Aotearoa","Taniwha","178.5","21.5","1.7","1.2","17.9","1.8","5.6","31.00","10.57","","","","26-34","Mar 2, 2026"
"Hobby Discs","Jollyroger","180.9","21.8","1.8","1.2","19.1","1.4","5.5","33.25","9.55","","","","26-33","Mar 2, 2026"
"Latitude 64","Amber","174.3","21.0","1.7","1.1","16.9","2.1","5.2","31.00","7.95","","","","26-36","Mar 2, 2026"
"Westside Golf Discs","Giant Reborn","182.6","22.0","1.7","1.1","17.6","2.2","5.0","31.50","8.98","","","","26-37","Mar 2, 2026"
"Westside Golf Discs","Vellamo","180.9","21.8","2.0","1.3","18.9","1.5","6.0","37.50","8.41","","","","26-38","Mar 2, 2026"
"Discmania","Premier DD1","176.0","21.2","1.8","1.2","16.8","2.2","5.7","27.00","8.07","","","","26-35","Mar 2, 2026"
"MVP Disc Sports","Control","176.0","21.2","1.6","1.1","17.0","2.1","5.2","26.50","9.62","","","","26-39","Mar 2, 2026"
"Discmania","Premier Cloudbreaker","175.1","21.1","1.9","1.2","16.6","2.3","5.7","27.25","12.16","","","","26-26","Feb 23, 2026"
"Discmania","DD4","175.1","21.1","1.7","1.2","16.3","2.4","5.7","27.00","12.16","","","","26-25","Feb 23, 2026"
"Bernoulli","Hubble","174.3","21.0","1.9","1.1","16.4","2.3","5.2","26.00","12.16","","","","26-24","Feb 23, 2026"
"Discraft","Terminator (DIS-0226-D)","175.1","21.1","1.8","1.2","16.5","2.3","5.7","28.00","11.70","","","","26-28","Feb 23, 2026"
"Discraft","Ares (PM-0226-D) (renamed from Zeus 2.0)","175.1","21.1","1.8","1.1","16.5","2.3","5.2","29.75","9.32","","","","26-27","Feb 23, 2026"
"Dynamic Discs","Contender","175.1","21.1","1.8","1.1","17.2","2.0","5.2","29.25","9.89","","","","26-30","Feb 23, 2026"
"Dynamic Discs","Cavalry","175.1","21.1","1.7","1.1","17.1","2.0","5.2","29.00","8.98","","","","26-29","Feb 23, 2026"
"Yikun Discs","Freyja (弗蕾雅)","174.3","21.0","1.9","1.4","19.0","1.0","6.7","68.25","8.86","","","","26-23","Feb 16, 2026"
"Doomsday Discs","Overlord","176.0","21.2","1.5","1.1","16.6","2.3","5.2","29.00","8.41","","","","26-21","Feb 9, 2026"
"MVP Disc Sports","Stasis","176.0","21.2","1.8","1.4","19.1","1.0","6.6","70.50","9.77","","","","26-19","Feb 9, 2026"
