merged_id,merged_name,merged_brand,candidate_disc_model,candidate_manufacturer,candidate_approved_date,candidate_certification_number
19,Aftershock,DGA,Aftershock,Disc Golf Association,"Feb 26, 2009",09-06
19,Aftershock,DGA,Aftershock (D-Line),Disc Golf Association,"Apr 9, 2009",09-11
36,Andro C,Other,Andro C (retooled),Ozone Discs,"Nov 10, 2016",16-73
36,Andro C,Other,Andro C,Ozone Discs,"Jun 6, 2016",16-54
37,Andro C (Retooled),Other,Andro C (retooled),Ozone Discs,"Nov 10, 2016",16-73
37,Andro C (Retooled),Other,Andro C,Ozone Discs,"Jun 6, 2016",16-54
48,Apollo,Other,Apollo,"Wham-O, Inc.","May 12, 1997",97-05
48,Apollo,Other,Apollo,Alfa Discs,"Apr 5, 2021",21-42
153,Canyon,Trash Panda,Canyon (retooled),Trash Panda Disc Golf,"Mar 10, 2025",25-36
153,Canyon,Trash Panda,Canyon (Prototype),Trash Panda Disc Golf,"Jan 13, 2025",25-5
215,Crossbow,Yikun,Crossbow,Black Zombie Disc Golf,"Feb 26, 2018",18-26
215,Crossbow,Yikun,"Crossbow (Nu, 连弩)",Yikun Discs,"Aug 16, 2018",18-62
330,Falcon,Millennium,Falcon,Millennium Golf Discs,"Mar 20, 2019",19-22
330,Falcon,Millennium,Falcon,Lightning Discs,"Jan 1, 1987",87-10
350,Flying Squirrel,Other,Flying Squirrel,ABC Discs,"May 29, 2010",10-13
350,Flying Squirrel,Other,Flying Squirrel (Brachiosaurus variant),ABC Discs,"Jul 5, 2021",21-74
416,Hammer,Yikun,Hammer,Innova Champion Discs,"Jan 1, 1987",87-06
416,Hammer,Yikun,"Hammer (Chui, 战锤)",Yikun Discs,"Aug 16, 2018",18-63
441,Hurricane,DGA,Hurricane (SP Line),Disc Golf Association,"Feb 24, 2011",11-08
441,Hurricane,DGA,Hurricane (Proline),Disc Golf Association,"Aug 3, 2010",10-23
495,Kea,RPM,Kea (MR2) (retooled),RPM Discs/Disc Golf Aotearoa,"Nov 9, 2023",23-255
495,Kea,RPM,Kea (MR2),RPM Discs/Disc Golf Aotearoa,"Feb 26, 2018",18-37
500,Kiwi,RPM,"Kiwi (DGD1, former Raptor)",RPM Discs/Disc Golf Aotearoa,"Aug 23, 2006",06-34
500,Kiwi,RPM,"Kiwi (DGD1, retooled)",RPM Discs/Disc Golf Aotearoa,"Apr 9, 2020",20-33
506,Kotare,RPM,"Kotare (DGD3, retooled)",RPM Discs/Disc Golf Aotearoa,"Sep 8, 2020",20-74
506,Kotare,RPM,Kotare (DGD3),RPM Discs/Disc Golf Aotearoa,"Dec 5, 2019",19-77
509,Kraken,Other,Kraken,DKG Disc Sports,"Sep 3, 2010",10-28
509,Kraken,Other,Kraken,Divergent Discs,"May 3, 2021",21-57
674,Osprey,AquaFlight,Osprey,AquaFlight Discs,"Jan 7, 2016",16-02
674,Osprey,AquaFlight,Osprey,Climo Disc Golf,"Apr 7, 2025",25-56
676,Outlaw,Legacy,Outlaw (retooled),Legacy Discs,"Sep 17, 2014",14-73
676,Outlaw,Legacy,Outlaw,Legacy Discs,"Feb 25, 2014",14-15
815,Rift,DGA,Rift,Obsidian Discs Oy,"May 9, 2018",18-40
815,Rift,DGA,Rift,Disc Golf Association,"Aug 1, 2019",19-58
986,Tempest,DGA,Tempest,DKG Disc Sports,"Sep 3, 2010",10-31
986,Tempest,DGA,Tempest,Disc Golf Association,"Aug 16, 2018",18-64
1015,Torque,Finish Line,Torque,Discraft,"Sep 21, 2006",06-41
1015,Torque,Finish Line,Torque,Finish Line Discs,"Jun 30, 2023",23-180
1021,Tremor,DGA,Tremor,Obsidian Discs Oy,"Mar 21, 2022",22-39
1021,Tremor,DGA,Tremor,Disc Golf Association,"Aug 29, 2017",17-100
1029,Tsunami,DGA,Tsunami,Discraft,"May 10, 2004",04-05
1029,Tsunami,DGA,Tsunami (D-Line),Disc Golf Association,"Dec 21, 2008",08-39
1036,Typhoon,DGA,Typhoon (renamed from DGA202408),Disc Golf Association,"Sep 9, 2024",24-180
1036,Typhoon,DGA,Typhoon,Discraft,"Dec 1, 1994",94-10
1043,Undertow,DGA,Undertow (SP-line),Disc Golf Association,"Feb 3, 2012",12-09
1043,Undertow,DGA,Undertow (ProLine),Disc Golf Association,"Feb 12, 2012",12-12
1071,Vortex,DGA,Vortex,Discraft,"Jan 1, 1990",90-14
1071,Vortex,DGA,Vortex,Disc Golf Association,"Feb 7, 2022",22-22
1088,Warrior (Viking),Viking,Warrior (old),Gateway Disc Sports,"Oct 20, 1999",99-12
1088,Warrior (Viking),Viking,Warrior (new),Gateway Disc Sports,"Apr 9, 2010",10-09
